# Provenance: synthetic test data for word character classification
# Source: generated synthetic ranges for compile-time data table validation
# Upstream-Hash: 0000000000000000000000000000000000000000
# Records: 35 pairs (70 elements)
000030 000039
000041 00005A
00005F 00005F
000061 00007A
0000AA 0000AA
0000B5 0000B5
0000BA 0000BA
0000C0 0000D6
0000D8 0000F6
0000F8 0002C1
0002C6 0002D1
0002E0 0002E4
0002EC 0002EC
0002EE 0002EE
000370 000374
000376 000377
00037A 00037D
00037F 00037F
000386 000386
000388 00038A
00038C 00038C
00038E 0003A1
0003A3 0003F5
0003F7 000481
00048A 00052F
000531 000556
000559 000559
000560 000588
00058A 00058A
000591 0005BD
0005BF 0005BF
0005C1 0005C2
0005C4 0005C5
0005C7 0005C7
020000 02001F
